uid,occupation,variant,temp,model,modality,file,wrapper_strict,wrapper_rescued,schema_strict,schema_rescued,safety_strict,safety_rescued,rubric_score,iou,is_manual_stub,price_per_k,ctx_tokens,price_date,norm_schema,norm_rubric,norm_iou,norm_price,norm_safety,composite_score
ce0be4e8,Radiologic Technologists and Technicians,1,0.5,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/ce0be4e8_v1_t0_5.json,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0025,256000.0,,0.0,0.0,0.0,,0.0,0.0
8cc4a9e1,"Shipping, Receiving, and Inventory Clerks",1,0.5,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/8cc4a9e1_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,3.0,,,0.0025,256000.0,,1.0,0.6,0.0,0.0,1.0,60.0
7e365caf,Logisticians,1,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/7e365caf_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
2bc72355,"Elementary School Teachers, Except Special Education",0,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/2bc72355_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,2.0,,,0.0025,256000.0,,1.0,0.4,0.0,0.0,1.0,47.6923076923077
d21fc252,"Shipping, Receiving, and Inventory Clerks",2,0.0,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/d21fc252_v2_t0_0.json,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0025,256000.0,,0.0,0.0,0.0,,0.0,0.0
85a846ff,Medical Secretaries and Administrative Assistants,2,0.5,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/85a846ff_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
dc35566b,Paralegals and Legal Assistants,1,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/dc35566b_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
47817359,"Bookkeeping, Accounting, and Auditing Clerks",2,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/47817359_v2_t0_0.json,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0025,256000.0,,0.0,0.0,0.0,0.0,0.0,0.0
bbf22c00,"Bookkeeping, Accounting, and Auditing Clerks",0,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/bbf22c00_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
1b64c419,Medical Secretaries and Administrative Assistants,1,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/1b64c419_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,,0.0025,256000.0,,1.0,1.0,0.0,0.0,1.0,84.61538461538461
